diagnostic_window,warning_threshold,is_frozen_primary,recall,precision,false_positive_rate,median_lead_time_days,recall_change_from_primary,precision_change_from_primary
50,1.6,False,0.6545454545454545,0.0935064935064935,0.9064935064935064,82.0,0.0909090909090909,-0.0105203521310903
50,2.0,False,0.5636363636363636,0.0914454277286135,0.9085545722713864,76.0,0.0,-0.0125814179089703
50,2.4,False,0.4909090909090909,0.0978260869565217,0.9021739130434784,73.0,-0.0727272727272727,-0.0062007586810621
63,1.6,False,0.6545454545454545,0.1065088757396449,0.893491124260355,89.0,0.0909090909090909,0.002482030102061
63,2.0,True,0.5636363636363636,0.1040268456375839,0.8959731543624161,83.0,0.0,0.0
63,2.4,False,0.4909090909090909,0.1139240506329113,0.8860759493670886,63.0,-0.0727272727272727,0.0098972049953274
76,1.6,False,0.5818181818181818,0.1009463722397476,0.8990536277602523,83.5,0.0181818181818181,-0.0030804733978362
76,2.0,False,0.5454545454545454,0.1071428571428571,0.8928571428571429,60.5,-0.0181818181818181,0.0031160115052732
76,2.4,False,0.4545454545454545,0.1152073732718894,0.8847926267281107,62.0,-0.109090909090909,0.0111805276343055
