factor,collapse_events,detected_events,recall,precision,median_lead_time_days,warnings_per_year,recall_ci_lower,recall_ci_upper,raw_permutation_pvalue,bh_fdr_adjusted_pvalue,bonferroni_adjusted_pvalue
MKT_RF,17,6,0.3529411764705882,0.0759493670886076,64.0,1.2557555052659066,0.1730972039724374,0.5869963651478132,0.5732853429314138,0.6879424115176965,1.0
SMB,16,10,0.625,0.1136363636363636,78.0,1.398816259030377,0.3864104054550271,0.8151876744113636,0.0869826034793041,0.5218956208758249,0.5218956208758249
HML,14,6,0.4285714285714285,0.0666666666666666,72.5,1.4306075376447036,0.2138079890447412,0.6740935542034926,0.564887022595481,0.6879424115176965,1.0
RMW,13,8,0.6153846153846154,0.08,51.0,1.5895639307163374,0.355228915126657,0.8229029220223743,0.2173565286942611,0.6520695860827834,1.0
CMA,11,4,0.3636363636363636,0.0470588235294117,78.5,1.3511293411088867,0.1516647109536757,0.6461988254921511,0.8180363927214557,0.8180363927214557,1.0
MOM,15,8,0.5333333333333333,0.0851063829787234,65.5,1.494190094873357,0.3011698002549839,0.7519046463426261,0.4405118976204759,0.6879424115176965,1.0
