factor,true_positive,duplicate_in_horizon,extended_early_warning,too_early_to_attribute,post_collapse_warning,terminal_false_positive,total_warning_events,primary_precision,warning_within_primary_horizon_share,warning_within_one_year_share,too_early_share,terminal_false_positive_share
MKT_RF,6,0,3,54,3,13,79,0.0759493670886076,0.0759493670886076,0.11392405063291139,0.6835443037974683,0.16455696202531644
SMB,10,2,4,61,3,8,88,0.11363636363636363,0.13636363636363635,0.18181818181818182,0.6931818181818182,0.09090909090909091
HML,6,3,2,52,1,26,90,0.06666666666666667,0.1,0.12222222222222222,0.5777777777777777,0.28888888888888886
RMW,8,1,4,81,6,0,100,0.08,0.09,0.13,0.81,0.0
CMA,4,2,3,67,3,6,85,0.047058823529411764,0.07058823529411765,0.10588235294117647,0.788235294117647,0.07058823529411765
MOM,8,2,7,62,2,13,94,0.0851063829787234,0.10638297872340426,0.18085106382978725,0.6595744680851063,0.13829787234042554
