detector,collapse_events,detected_events,missed_events,warning_events,true_positive_warnings,false_positive_warnings,recall,precision,false_positive_rate,median_lead_time_days,mean_lead_time_days,diagnostic_window,warning_threshold,is_frozen_primary,recall_change_from_primary,precision_change_from_primary,relative_recall_change,relative_precision_change
kurtosis_w50_t1.6,55,36,19,385,36,349,0.6545454545454545,0.09350649350649351,0.9064935064935065,82.0,76.41666666666667,50,1.6,False,0.09090909090909094,-0.010520352131090385,0.1612903225806452,-0.10113112693757854
kurtosis_w50_t2.0,55,31,24,339,31,308,0.5636363636363636,0.09144542772861357,0.9085545722713865,76.0,75.12903225806451,50,2.0,False,0.0,-0.012581417908970327,0.0,-0.12094395280235992
kurtosis_w50_t2.4,55,27,28,276,27,249,0.4909090909090909,0.09782608695652174,0.9021739130434783,73.0,69.14814814814815,50,2.4,False,-0.0727272727272727,-0.006200758681062152,-0.12903225806451607,-0.05960729312762972
kurtosis_w63_t1.6,55,36,19,338,36,302,0.6545454545454545,0.10650887573964497,0.893491124260355,89.0,75.75,63,1.6,False,0.09090909090909094,0.002482030102061078,0.1612903225806452,0.023859515174651652
kurtosis_w63_t2.0,55,31,24,298,31,267,0.5636363636363636,0.1040268456375839,0.8959731543624161,83.0,73.2258064516129,63,2.0,True,0.0,0.0,0.0,0.0
kurtosis_w63_t2.4,55,27,28,237,27,210,0.4909090909090909,0.11392405063291139,0.8860759493670886,63.0,63.925925925925924,63,2.4,False,-0.0727272727272727,0.009897204995327494,-0.12903225806451607,0.0951408738260514
kurtosis_w76_t1.6,55,32,23,317,32,285,0.5818181818181818,0.10094637223974763,0.8990536277602523,83.5,72.65625,76,1.6,False,0.018181818181818188,-0.003080473397836264,0.032258064516129045,-0.029612292663071183
kurtosis_w76_t2.0,55,30,25,280,30,250,0.5454545454545454,0.10714285714285714,0.8928571428571429,60.5,65.96666666666667,76,2.0,False,-0.018181818181818188,0.0031160115052732418,-0.032258064516129045,0.029953917050691163
kurtosis_w76_t2.4,55,25,30,217,25,192,0.45454545454545453,0.1152073732718894,0.8847926267281107,62.0,61.44,76,2.4,False,-0.10909090909090907,0.011180527634305507,-0.19354838709677416,0.10747733016203358
