metric,observed,null_mean,null_median,null_95th_percentile,permutation_pvalue
recall,0.4883720930232558,0.42934186046511624,0.43023255813953487,0.5232558139534884,0.16416716656668667
precision,0.07835820895522388,0.06888694029850746,0.06902985074626866,0.08395522388059702,0.16416716656668667
