factor,warning_date,primary_classification,appendix_classification,reference_collapse_start,appendix_lead_time_days,inside_active_collapse,within_primary_horizon,within_extended_horizon
CMA,1995-07-19,false_positive,too_early_to_attribute,1999-01-15,883.0,False,False,False
CMA,1996-02-09,false_positive,too_early_to_attribute,1999-01-15,740.0,False,False,False
CMA,1996-07-17,false_positive,too_early_to_attribute,1999-01-15,631.0,False,False,False
CMA,1997-10-13,false_positive,too_early_to_attribute,1999-01-15,317.0,False,False,False
CMA,1997-10-27,false_positive,too_early_to_attribute,1999-01-15,307.0,False,False,False
CMA,1998-08-31,true_positive,true_positive,1999-01-15,95.0,False,True,True
CMA,1998-12-07,false_positive,duplicate_in_horizon,1999-01-15,27.0,False,True,True
CMA,1998-12-31,false_positive,duplicate_in_horizon,1999-01-15,10.0,False,True,True
CMA,2000-01-04,false_positive,too_early_to_attribute,2004-11-03,1214.0,False,False,False
CMA,2000-10-19,false_positive,too_early_to_attribute,2004-11-03,1013.0,False,False,False
CMA,2001-01-03,false_positive,too_early_to_attribute,2004-11-03,962.0,False,False,False
CMA,2002-05-08,false_positive,too_early_to_attribute,2004-11-03,628.0,False,False,False
CMA,2004-09-02,true_positive,true_positive,2004-11-03,43.0,False,True,True
CMA,2006-08-17,false_positive,too_early_to_attribute,2014-03-13,1904.0,False,False,False
CMA,2007-01-03,false_positive,too_early_to_attribute,2014-03-13,1810.0,False,False,False
