factor,warning_date,primary_classification,appendix_classification,reference_collapse_start,appendix_lead_time_days,inside_active_collapse,within_primary_horizon,within_extended_horizon
MOM,2020-11-09,false_positive,terminal_false_positive,,,False,False,False
MOM,2022-03-01,false_positive,terminal_false_positive,,,False,False,False
MOM,2022-11-10,false_positive,terminal_false_positive,,,False,False,False
MOM,2024-10-14,false_positive,terminal_false_positive,,,False,False,False
MOM,2024-12-09,false_positive,terminal_false_positive,,,False,False,False
MOM,2025-01-27,false_positive,terminal_false_positive,,,False,False,False
MOM,2026-02-25,false_positive,terminal_false_positive,,,False,False,False
RMW,1965-07-27,false_positive,too_early_to_attribute,1973-12-17,2089.0,False,False,False
RMW,1965-10-01,false_positive,too_early_to_attribute,1973-12-17,2042.0,False,False,False
RMW,1966-02-01,false_positive,too_early_to_attribute,1973-12-17,1958.0,False,False,False
RMW,1966-02-10,false_positive,too_early_to_attribute,1973-12-17,1951.0,False,False,False
RMW,1966-08-29,false_positive,too_early_to_attribute,1973-12-17,1813.0,False,False,False
RMW,1967-03-16,false_positive,too_early_to_attribute,1973-12-17,1676.0,False,False,False
RMW,1967-03-28,false_positive,too_early_to_attribute,1973-12-17,1669.0,False,False,False
RMW,1967-10-24,false_positive,too_early_to_attribute,1973-12-17,1522.0,False,False,False
RMW,1968-01-04,false_positive,too_early_to_attribute,1973-12-17,1474.0,False,False,False
RMW,1969-08-28,false_positive,too_early_to_attribute,1973-12-17,1087.0,False,False,False
RMW,1969-11-10,false_positive,too_early_to_attribute,1973-12-17,1036.0,False,False,False
RMW,1969-12-24,false_positive,too_early_to_attribute,1973-12-17,1005.0,False,False,False
RMW,1971-08-02,false_positive,too_early_to_attribute,1973-12-17,600.0,False,False,False
RMW,1972-11-24,false_positive,too_early_to_attribute,1973-12-17,266.0,False,False,False
RMW,1974-03-26,false_positive,too_early_to_attribute,1993-04-21,4821.0,False,False,False
RMW,1975-07-09,false_positive,too_early_to_attribute,1993-04-21,4496.0,False,False,False
RMW,1975-08-26,false_positive,too_early_to_attribute,1993-04-21,4462.0,False,False,False
RMW,1976-11-04,false_positive,too_early_to_attribute,1993-04-21,4160.0,False,False,False
