metric,estimate,ci_lower,ci_upper
recall,0.4883720930232558,0.38372093023255816,0.5930232558139535
precision,0.07835820895522388,0.055970149253731345,0.10074626865671642
median_lead_time_days,66.0,46.0,91.0
